# teaser_benchmark.py --distance_metric=euclidean --noise_bound=0.2 --cbar2=1 --estimate_scaling=False --rotation_estimation_algorithm=GNC_TLS --rotation_gnc_factor=1.4 --rotation_max_iterations=100 --rotation_cost_threshold=1e-06 --rotation_tim_graph=CHAIN --inlier_selection_mode=PMC_EXACT --kcore_heuristic_threshold=0.5 --input_txt=/neural_comparison/point_clouds_registration_benchmark//eth/wood_summer_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark//eth/wood_summer/ --input_features_dir=/neural_comparison/experiments/FPFH/features_voxelgrid_0.2//eth/wood_summer/ --output_dir=/root/neural_registration_comparison/results/FPFH/teaser_0.2
id;initial_error;final_error;transformation
2318808360030;4.969564550018172;0.3369349367850014;0.4661740968753594  0.05675182925891725  0.8828708519813127  -5.643658052975152  0.6840037404908537  -0.6560330521677924  -0.31899767625788494  8.46049115656991  0.5610887580383013  0.7525954187604229  -0.3446440791075036  -10.099187307872212  0.0  0.0  0.0  1.0
2318808360061;1.6724101210514537;0.03508542377568275;0.20192616060005522  -0.944137947926009  0.26044070525051755  0.2928780249229424  0.9509391963420825  0.2526397716669224  0.17857152805629675  -4.821455798536907  -0.23439383636434707  0.21160501189279932  0.9488323605443978  -1.2498984490343314  0.0  0.0  0.0  1.0
2318808360092;1.584883217651029;0.014924837098932007;0.27186635697887274  0.10453483121282356  -0.9566405558026183  4.720319608802395  -0.9017668204265415  0.37477211052296255  -0.21531945279507214  5.21424668407208  0.33601381745523695  0.9212048275152876  0.19615397075177435  -3.8003116816862885  0.0  0.0  0.0  1.0
2318808360123;2.8011658140671436;0.019375931581310138;0.7903193968277149  -0.05658619333836136  -0.6100764326880286  -2.5045228156096124  -0.5250515724985718  -0.5757397670290038  -0.6267731382870245  -3.3502567122808844  -0.3157785572432902  0.8156725589259836  -0.48472897520210634  1.1971433718070825  0.0  0.0  0.0  1.0
2318808360154;5.158117208596515;0.048785720893152716;0.6526096316624881  -0.7574541841515834  -0.019074264667649554  -7.127434248258074  0.7575563255420742  0.6518035807277683  0.035503602375684895  -5.734960045290361  -0.014459678161793693  -0.03761982272312875  0.9991875032473826  3.027831875541336  0.0  0.0  0.0  1.0
2318808360185;2.9373278081057164;0.047447344558053856;0.6471937695919106  -0.14797313322283656  -0.747826300985482  1.8894887138489138  -0.3164873254928326  0.8402904855359514  -0.4401677779212684  -0.8793054004208506  0.693524330794389  0.5215513893778541  0.49699914570773984  -10.064513679369608  0.0  0.0  0.0  1.0
2318808360216;2.8192109211834575;0.033345772334449436;0.6745725403100338  0.7161908724052515  0.17894837843096592  -1.9053187969085095  0.4487080447945633  -0.590286815613143  0.6709862635329691  -3.6673875472088047  0.5861851059147678  -0.3723333312996562  -0.7195518827763515  -1.5449126976956071  0.0  0.0  0.0  1.0
2318808360247;5.338906233558544;0.06624261697868639;-0.3602457179187136  0.9328442272879727  0.004966924273348605  -2.3461863673509256  -0.8875076761567864  -0.34436785962850225  0.3061713605444931  4.743028054287018  0.287320635325785  0.10588873816601432  0.9519634591966212  -4.068981591295511  0.0  0.0  0.0  1.0
2318808360278;3.9358878406157967;0.021982370417907512;-0.020352936365688523  -0.9274675519464373  -0.3733492976661078  0.5773939583091511  0.5089315884203155  0.31181405593123057  -0.8023469529023526  4.790772103287298  0.8605663230043743  -0.20633936757244725  0.46567120278210655  -1.5444537089421304  0.0  0.0  0.0  1.0
2318808360309;2.1234453820707166;0.04560552576117417;-0.2666615072547094  -0.32270240300496167  -0.908160117844574  5.085738254169407  -0.9300302481587837  -0.16105332356160215  0.3303113144890336  1.4355112716357685  -0.2528544602303038  0.9326976927518291  -0.2571762739388232  7.630644426750804  0.0  0.0  0.0  1.0
