# teaser_benchmark.py --gpu 0 --input_txt=/neural_comparison/point_clouds_registration_benchmark/eth/wood_autumn_global.txt --input_pcd_dir=/neural_comparison/point_clouds_registration_benchmark/eth/wood_autumn/ --input_features_dir=/neural_comparison/experiments/3DFeatNet/feature_extraction_voxelgrid_0.1/eth/wood_autumn/ --output_dir=/neural_comparison/experiments/3DFeatNet/results_teaser_voxelgrid_0.1/ --cbar2=1 --noise_bound=0.1 --estimate_scaling=False --rotation_estimation_algorithm=GNC_TLS --rotation_gnc_factor=1.4 --rotation_max_iterations=100 --rotation_cost_threshold=1e-12 --rotation_tim_graph=CHAIN --inlier_selection_mode=PMC_EXACT --kcore_heuristic_threshold=0.5 --distance_metric=euclidean
id;initial_error;final_error;transformation
26875431820030;2.0535532931381004;1.4500865936524252;0.5961560372196166  0.6563503949279964  0.46238743318181363  -1.4897379996130533  0.09001769553286082  -0.6269308440942114  0.7738569190840598  3.341412556113871  0.7978062382418156  -0.41971642307775303  -0.4328317576394557  -2.4321342431320585  0.0  0.0  0.0  1.0
26875431820061;1.6463845109934325;4.362878358628567;0.5569804547793664  0.8252279675953972  0.09365668418292349  -3.759304360510271  -0.817315532998952  0.5245921739061892  0.23832408731602622  3.202329286427763  0.14754013864846707  -0.20928892129003834  0.9666592237768399  4.47901566309508  0.0  0.0  0.0  1.0
26875431820092;3.1454983955145077;5.182123279792611;-0.2210505221690905  -0.43307954091553136  0.8738299479241751  1.6490528094367327  -0.6520095131582697  0.7319488003332388  0.1978245395340273  5.164461012597189  -0.7252725428415788  -0.5260162211673004  -0.4441696451458438  9.310663587651582  0.0  0.0  0.0  1.0
26875431820123;5.022952331012622;5.115079840388076;-0.6560133271026645  0.7343414371240969  -0.1743248931914435  -0.8681262724986838  0.15873939905393727  0.3600468299925112  0.9193302363135561  -4.352895883437849  0.7378674121084949  0.5754206582447833  -0.3527644372856385  -1.7615995477610824  0.0  0.0  0.0  1.0
26875431820154;4.9039779898946945;8.315236783651226;-0.026307571273646704  0.5645131828837513  -0.8250047139526774  8.495728235441149  -0.5045465417999412  0.704960429358717  0.49846121232859725  13.737860082318386  0.8629836028867545  0.4293665792639558  0.2662773774840191  -18.918791380567463  0.0  0.0  0.0  1.0
26875431820185;2.518490360471434;1.5654148288393377;-0.9344336028039641  0.3537166879445468  0.0414529446522584  9.643038381131243  -0.3548716786859417  -0.93458825150893  -0.024716225603898186  2.1097554214939187  0.029998893603349553  -0.037806147793988526  0.9988347018258594  -0.20663055459962187  0.0  0.0  0.0  1.0
26875431820216;3.040176925026691;4.73317124385472;-0.8532851096910956  -0.3258190553685479  -0.4071197179432636  -1.1471160388475479  0.20360307602239733  -0.9269570863436414  0.3151132296675676  -1.138926093544981  -0.48005240236215163  0.18599059985938626  0.8572964409994202  5.5844628747982705  0.0  0.0  0.0  1.0
26875431820247;4.293952946805166;4.78578413847451;-0.9310804158677737  0.3639473753215854  0.02513100045805914  4.639981016291388  -0.3461857388886942  -0.9031697652802483  0.25384997394861025  0.4542558432297196  0.11508559152901263  0.22765474534951013  0.9669170716986368  -8.714697857982385  0.0  0.0  0.0  1.0
26875431820278;1.9928622542605958;1.7100890407522822;0.6436719142941932  0.7638711608667573  0.046768753938094904  -5.464968787597509  -0.7635108779614229  0.6451436612380088  -0.028996475630580734  9.260896451716581  -0.052322136648138416  -0.01704423540351578  0.9984847961066222  3.3175613125921477  0.0  0.0  0.0  1.0
26875431820309;3.3178555720271428;4.794494233203611;0.1745060174255405  0.9169321076673022  0.35886370645563415  -9.282755669413133  -0.8444299454164885  0.3268140750467649  -0.42441798693650257  5.379105539598281  -0.5064441895867527  -0.2289717674302358  0.8313159523031485  9.186155844932221  0.0  0.0  0.0  1.0
